pack_category,pack_name,korean,translation
Beginner 1,S14 - Hobbies,스키,"Skiing"
Beginner 1,S14 - Hobbies,요가,"Yoga"
Beginner 1,S14 - Hobbies,마라톤,"Marathon"
Beginner 1,S14 - Hobbies,스케이트,"Skating"
Beginner 1,S14 - Hobbies,볼링,"Bowling"
Beginner 1,S14 - Hobbies,조깅,"Jogging"
Beginner 1,S14 - Hobbies,취미,"Hobby"
Beginner 1,S14 - Hobbies,책 읽기,"Reading books"
Beginner 1,S14 - Hobbies,사진 찍기,"Taking photos"
Beginner 1,S14 - Hobbies,그림 그리기,"Drawing / Painting"
Beginner 1,S14 - Hobbies,음악 감상(하기),"Listening to music"
Beginner 1,S14 - Hobbies,여행(하기),"Traveling"
Beginner 1,S14 - Hobbies,운동(하기),"Exercising"
Beginner 1,S14 - Hobbies,영화 보기,"Watching movies"
Beginner 1,S14 - Hobbies,우표 수집 / 우표 모으기,"Stamp collecting"
Beginner 1,S14 - Hobbies,컴퓨터 게임(하기),"Playing computer games"
Beginner 1,S14 - Hobbies,빈도,"Frequency"
Beginner 1,S14 - Hobbies,항상,"Always"
Beginner 1,S14 - Hobbies,자주,"Often"
Beginner 1,S14 - Hobbies,가끔,"Sometimes"
Beginner 1,S14 - Hobbies,거의 안,"Hardly ever / Rarely"
Beginner 1,S14 - Hobbies,전혀,"Not at all / Never"
Beginner 1,S14 - Hobbies,잘하다,"Do well"
Beginner 1,S14 - Hobbies,못하다,"Cannot do / Be bad at"
Beginner 1,S14 - Hobbies,보통이다,"Average / Normal"
Beginner 1,S14 - Hobbies,조금 하다,"Do a little"
Beginner 1,S15 - Transportation,버스,"Bus"
Beginner 1,S15 - Transportation,기차,"Train"
Beginner 1,S15 - Transportation,택시,"Taxi"
Beginner 1,S15 - Transportation,지하철,"Subway"
Beginner 1,S15 - Transportation,오토바이,"Motorcycle"
Beginner 1,S15 - Transportation,자동차,"Car / Automobile"
Beginner 1,S15 - Transportation,배,"Ship / Boat"
Beginner 1,S15 - Transportation,비행기,"Airplane"
Beginner 1,S15 - Transportation,자전거,"Bicycle"
Beginner 1,S15 - Transportation,전차,"Tram / Electric train"
Beginner 1,S15 - Transportation,세옴,"Xe om (Motorbike taxi)"
Beginner 1,S15 - Transportation,시클로,"Cyclo"
Beginner 1,S15 - Transportation,어떻게,"How"
Beginner 1,S15 - Transportation,얼마나,"How much / How long"
Beginner 1,S15 - Transportation,언제,"When"
Beginner 1,S15 - Transportation,왜,"Why"
Beginner 1,S15 - Transportation,택시,"Taxi"
Beginner 1,S15 - Transportation,모범택시,"Deluxe taxi"
Beginner 1,S15 - Transportation,개인택시,"Private taxi"
Beginner 1,S15 - Transportation,요금,"Fare / Fee"
Beginner 1,S15 - Transportation,버스 정류장(정거장),"Bus stop"
Beginner 1,S15 - Transportation,고속버스,"Express bus"
Beginner 1,S15 - Transportation,시내버스,"City bus"
Beginner 1,S15 - Transportation,버스 터미널,"Bus terminal"
Beginner 1,S15 - Transportation,교통카드,"Transportation card"
Beginner 1,S15 - Transportation,마을버스,"Local bus"
Beginner 1,S15 - Transportation,매표소,"Ticket office"
Beginner 1,S15 - Transportation,지하철역,"Subway station"
Beginner 1,S15 - Transportation,지하철 노선도,"Subway map"
Beginner 1,S15 - Transportation,기차역,"Train station"
Beginner 1,S15 - Transportation,공항,"Airport"
Beginner 1,S15 - Transportation,주차장,"Parking lot"
Beginner 1,S15 - Transportation,주유소,"Gas station"
Beginner 1,S15 - Transportation,횡단보도,"Crosswalk"
Beginner 1,S15 - Transportation,육교,"Overpass / Pedestrian bridge"
Beginner 1,S15 - Transportation,지하도,"Underpass"
Beginner 1,S15 - Transportation,신호등,"Traffic light"
Beginner 1,S15 - Transportation,고속도로,"Highway / Expressway"
Beginner 1,S15 - Transportation,도로,"Road"
Beginner 1,S15 - Transportation,타다,"Ride / Get on"
Beginner 1,S15 - Transportation,내리다,"Get off"
Beginner 1,S15 - Transportation,갈아타다,"Transfer"
Beginner 1,S15 - Transportation,길이 막히다,"Traffic jam"
Beginner 1,S15 - Transportation,시간이 걸리다,"Take time"
Beginner 1,S15 - Transportation,교통사고가 나다,"Traffic accident occurs"
